min	max	value
0	20	1
20	21	0.9975
21	22	0.9950
22	23	0.9925
23	24	0.9900
24	25	0.9875
25	26	0.9850
26	27	0.9825
27	28	0.9800
28	29	0.9775
29	30	0.975
30	31	0.9725
31	32	0.97
32	33	0.9675
33	34	0.9650
34	35	0.9625
35	36	0.9600
36	37	0.9575
37	38	0.9550
38	39	0.9525
39	40	0.9500
40	41	0.9475
41	42	0.9450
42	43	0.9425
43	44	0.9400
44	45	0.9375
45	46	0.9350
46	47	0.9325
47	48	0.9300
48	49	0.9275
49	50	0.9250
50	51	0.9225
51	52	0.9200
52	53	0.9175
53	54	0.9150
54	55	0.9125
55	56	0.9100
56	57	0.9075
57	58	0.9050
58	59	0.9025
59	60	0.9000
